CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
82011,ART,2500C,ART 2500C,Painting I,[REDACTED],TR | 12:15 PM - 2:45 PM | 45-Fine Arts Center Room 1600,Main Campus-UNF,Standard,OPEN,3,15,18,18
84206,ART,3317C,ART 3317C,Drawing Studio,[REDACTED],MW | 3:00 PM - 5:30 PM | 45-Fine Arts Center Room 2506,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,18,18,18
83177,ART,3420C,ART 3420C,Lithography Printmaking I,[REDACTED],TR | 9:25 AM - 11:55 AM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,OPEN,3,7,10,10
82415,ART,3433C,ART 3433C,Screenprint I,[REDACTED],F | 9:00 AM - 2:00 PM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,OPEN,7,5,12,12
82344,ART,3442C,ART 3442C,Intaglio Printmaking I,[REDACTED],MW | 9:00 AM - 11:30 AM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,OPEN,6,4,10,10
82420,ART,3443C,ART 3443C,Relief Printmaking I,[REDACTED],MW | 3:00 PM - 5:30 PM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,11,11,10
84670,ART,3504C,ART 3504C,Painting III,[REDACTED],TR | 9:25 AM - 11:55 AM | 45-Fine Arts Center Room 1600,Main Campus-UNF,Standard,OPEN,1,17,18,18
82606,ART,3530C,ART 3530C,Painting II,[REDACTED],TR | 3:05 PM - 5:35 PM | 45-Fine Arts Center Room 1600,Main Campus-UNF,Standard,OPEN,7,11,18,18
84204,ART,3560C,ART 3560C,Figurative Painting,[REDACTED],MW | 3:00 PM - 5:30 PM | 45-Fine Arts Center Room 1600,Main Campus-UNF,Standard,OPEN,6,12,18,18
82359,ART,3707C,ART 3707C,Sculpture I,[REDACTED],MW | 12:00 PM - 2:30 PM | 6-Building Services Room 1237,Main Campus-UNF,Standard,OPEN,1,14,15,15
82065,ART,3709C,ART 3709C,Sculpture II,[REDACTED],TR | 12:15 PM - 2:45 PM | 6-Building Services Room 1237,Main Campus-UNF,Standard,OPEN,4,3,7,7
82345,ART,3714C,ART 3714C,Sculpture: Casting,[REDACTED],MW | 3:00 PM - 5:30 PM | 6-Building Services Room 1237,Main Campus-UNF,Standard,OPEN,4,10,14,10
82172,ART,3765C,ART 3765C,Intermediate Ceramics,[REDACTED],TR | 3:05 PM - 5:35 PM | 45-Fine Arts Center Room 1504,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,15,15,15
82066,ART,3786C,ART 3786C,Ceramics,[REDACTED],MW | 9:00 AM - 11:30 AM | 45-Fine Arts Center Room 1504,Main Campus-UNF,Standard,OPEN,1,14,15,15
82210,ART,3786C,ART 3786C,Ceramics,[REDACTED],MW | 12:00 PM - 2:30 PM | 45-Fine Arts Center Room 1504,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,15,15,15
