CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
82673,ECO,2023,ECO 2023,Principles of Microeconomics,[REDACTED],TR | 1:40 PM - 2:55 PM | 51-Social Sciences Room 1209,Main Campus-UNF,Standard,OPEN,1,59,60,10
83247,ECO,2023,ECO 2023,Principles of Microeconomics,[REDACTED],Online,Distance Learning,Online (DL),OPEN,2,93,95,10
82054,ECO,3101,ECO 3101,Intermediate Microeconomics,[REDACTED],TR | 3:05 PM - 4:20 PM | 42-Coggin College of Business Room 1102,Main Campus-UNF,Standard,OPEN,18,25,43,10
82056,ECO,3203,ECO 3203,Intermediate Macroeconomics,[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,50,50,5
82404,ECO,3203,ECO 3203,Intermediate Macroeconomics,[REDACTED],Online,Distance Learning,Online (DL),OPEN,1,49,50,5
82368,ECO,3411,ECO 3411,Business and Economic Statistics,[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,50,50,5
82422,ECO,3411,ECO 3411,Business and Economic Statistics,[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,50,50,5
82507,ECO,3411,ECO 3411,Business and Economic Statistics,[REDACTED],TR | 4:30 PM - 5:45 PM | 42-Coggin College of Business Room 2115,Main Campus-UNF,Standard,OPEN,1,42,43,5
82724,ECO,3411,ECO 3411,Business and Economic Statistics,[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,50,50,5
82745,ECO,3411,ECO 3411,Business and Economic Statistics,[REDACTED],Online,Distance Learning,Online (DL),OPEN,1,49,50,5
86375,ECO,3411,ECO 3411,Business and Economic Statistics,[REDACTED],TR | 9:25 AM - 10:40 AM | 42-Coggin College of Business Room 2115,Main Campus-UNF,Standard,OPEN,2,41,43,5
82405,ECO,3421,ECO 3421,Econometrics,[REDACTED],MW | 1:30 PM - 2:45 PM | 42-Coggin College of Business Room 2115,Main Campus-UNF,Standard,OPEN,23,20,43,5
82443,ECO,3701,ECO 3701,(CD) - The Global Economy,[REDACTED],MW | 12:00 PM - 1:15 PM | 42-Coggin College of Business Room 2120,Main Campus-UNF,Standard,OPEN,29,14,43,5
83667,ECO,3704,ECO 3704,International Trade,[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,50,50,5
